,Unnamed: 0,headers,text,T5 finetuned model (unclean text),T5 finetuned model (chunked text),question,MCQ,Column2,Column1,T5 finetuned model (unclean text): Multitask QA_QG Base Model,T5 finetuned model (unclean text): Multitask QA_QG Small Model,T5 finetuned model (unclean text): End To End Small Model
0,0,Contents,ForewordPrefaceIntroductionGlossarySection A:,,," What is the title?
","[{'answerText': 'Forewordprefaceintroductionglossarysection a', 'questionText': ' What is the title?', 'distractors': ['Forewordprefaceintroductionglossarysection b']}]",,,"[{'answer': 'Foreword', 'question': 'What is the PrefaceIntroductionGlossarySection A?'}]","[{'answer': 'ForewordPrefaceIntroductionGlossarySection A', 'question': 'What is the name of the post?'}]",[]
1,1,Governance & Information Asset Management,"01.02.03.04.05.06.07.Data protection: don’t forget that it is also physicalInvestigated by a regulator?Will it find only good – or some bad?Designing privacy into information systems and processesIs document classification really necessary?You can delegate the task but not the responsibilityWe don’t get any complaints so that’s good, right?Well, maybe not.What if your warehouse loses personal data belonging to yourorganisation?Section B:",,," When is data protected?
","[{'answerText': '01.02.03.04.05.06.07.', 'questionText': ' When is data protected?', 'distractors': ['01020404050607']}]",,,"[{'answer': 'Section B', 'question': 'What section of your warehouse loses personal data belonging to your organization?'}]","[{'answer': '01.02.03.04.05.06.07.Data protection', 'question': 'When did a regulator decide that data protection is physical?'}]","['What type of protection does a regulator have?', 'What is the purpose of protecting data?', 'What is the responsibility of a warehouse?']"
2,2,Collection of Personal Data,"“As long as you coerce someone to accept something, you don’t really change theirattitude, you temporarily change their subconscious behaviour.”Marios Evripidou 08",,," What did Evripidou do?
","[{'answerText': '“as long as you coerce someone to accept something, you don’t really change theirattitude, you temporarily change their subconscious behaviour.”', 'questionText': ' What did Evripidou do?', 'distractors': ['“as long as you coerce someone to accept something you don’t really change theirattitude”', '“As long as you “as long as you coerce someone to accept something you don’t really change theirattitude”']}]",,,,[],"['What do you do as long as you coerce someone to accept something, you don’t really change theirattitude, you temporarily change their subconscious behaviour?', 'What does Marios Evripidou 08 change?']"
3,3,Safeguarding privacy during data collection,"Lucky draws – do you need to know so much about me?Excessive collection of personal data in a sales engagementExcessive collection of personal data in an online membership form16.17.18.19.20.21.22.23.24.25.26.27.Is your public WiFi service collecting excessive personal data?Organisations, mobile apps and the data protection lawOver-collection of personal data: “This is our company policy” is nolonger acceptableThe trouble with overzealous sales and marketing techniques",,," What is the problem with overzealous sales and marketing techniques?
","[{'answerText': 'Overzealous', 'questionText': ' What is the problem with overzealous sales and marketing techniques?', 'distractors': ['Unacceptable', 'Optimistic']}]",,,"[{'answer': 'overzealous', 'question': 'What is the problem with sales and marketing techniques?'}]","[{'answer': 'overzealous sales and marketing techniques', 'question': 'What is the trouble with?'}]","['What do you need to know about me?', 'What is your public WiFi service collecting excessive personal data?', 'What is the problem with overzealous sales techniques?']"
4,4,The trouble with poaching ex-customers,"In our consulting work, we often see that sales people are under amisconception: they think that they “own the customer”.Or to state themisconception in the language of the data protection law, they think that theyare free to do whatever they like with personal data about their customers,including their ex-customers.They forget that individuals have the right tocontrol the ways in which their personal data is used or disclosed.This misconception gives rise to sales people “poaching ex-customers” –moving to a new organisation and marketing to “their customers” at theirprevious organisation.If they do this without the consent of the individualsconcerned, the sales people and their new organisation will generally fail tocomply with the data protection law.The following case studies demonstrate how this has caused trouble inthe past.Client personal data used by ex-employee to market new employer’sofferingsA salesman moved from one organisation (“Organisation A”) to anotherorganisation (“Organisation B”).Using Organisation B’s letterhead, thesalesman sent a marketing letter to one of his customers at Organisation A.The salesman had recorded the customer’s contact details in his personaldiary during the course of his business relationship with them when heworked at Organisation A. The letter stated that he had moved to a differentemployer, Organisation B, and was promoting offerings from Organisation B.The customer complained to the regulator on the basis that neither thesalesman nor Organisation B had obtained consent to use the customer’spersonal data to send marketing communications.1■The regulator:instructed Organisation B to destroy the customer’s personal data■■concluded that Organisation A was at fault for failing to ensure securitymeasures were in place to protect the personal data in its care andrecommended that the data protection provisions in the employee contractof Organisation A be amended to include specific reference to the use ofpersonal data to prevent any ambiguity.The previous contract referred tothe use of business data.The regulator wrote in its report that:there appears to be a misconception by some employees that thecustomers are their customers rather than that of the datacontroller, that is, the employer.Data controllers must be awarethat where they process data which has been brought in to theorganisation by a new employee from their previous employment,without the consent of the individuals, they are in breach of theData Protection Act .Client personal data retained by ex-employeeA life insurance agent left his agency (“Organisation A”) and joined adifferent company (“Organisation B”).He then called one of “his clients” atOrganisation A and asked her if she would like to transfer her life insurancepolicies from Organisation A to Organisation B or, as an alternative, if shewould like to take out new policies with Organisation B.When the client met with the agent to discuss the proposed changes shedid not have the documents relating to her existing policies with OrganisationA readily at hand. “No problem,” said the agent.He opened his laptopcomputer and brought up details of her existing policy.The client was horrified that confidential personal data relating to herlife insurance was still available to an ex-employee of Organisation A. Shewas even more unhappy that this could happen when the ex-employee nowworked for a competitor.The client confronted Organisation A about the incident.However, shewas not satisfied that Organisation A treated the breach of confidentialitywith the seriousness it deserved.Consequently, she escalated the matter tothe regulator, which investigated it.2■Organisation A told the regulator that:its field representatives were allowed access to client information onlaptop computers■■its data protection policies stated that if field representatives left theiremployment with Organisation A they must return their laptop computerand all company records and documents to their immediate supervisorandthe former employee had violated Organisation A’s policy and did notreturn the laptop.It was this violation of policy that had given rise to the complaint.As aresult, the regulator required Organisation A to put new procedures in placeso that client data would be erased automatically from all laptop computersevery six weeks and would be erased automatically whenever a fieldrepresentative ceased to be employed by Organisation A.A final wordAs you can see from the above examples, clients or customers may notappreciate being contacted by ex-sales people.They also get upset knowingthat their personal data is being retained when a salesperson leaves anorganisation.If you do have a close relationship with a customer, inform them that youare leaving the company and get unambiguous consent from them beforecontinuing to use their personal data.But, in addition, ensure that you do not breach the obligation ofconfidentiality you have to your ex-employer or, if you are working as anagent, your ex-principal.And ensure that you comply with the data protectionlaw.CHECKLIST OF GOOD PRACTICES – MANAGERS ANDEMPLOYERSManagers and employers should adopt the following practices when their employees orsalespersons leave their organisation, or when new employees join the organisation:■■■■Require your employees and agents to sign a confidentiality obligation.Have a clearwritten policy that is consistent with those confidentiality obligations.Require them to return all the organisation’s property when they leave.Require them to return all the organisation’s documents and not make and/or keep anycopy of them (including a copy on any personal computer that they may have used toaccess the organisation’s personal data remotely).Wherever possible, have technical controls to prevent ex-employees and agents fromremotely accessing the organisation’s confidential information or personal data.If this is■not feasible, put in place technical controls to keep track of any remote access, andparticularly any downloads.Do not use (or disclose) personal data brought into your organisation by new employeesunless you are satisfied that:••the relevant individuals have given their consent to your organisation using (ordisclosing) it for the stated purpose andthe new employees are not in breach of any confidentiality or similar obligation to theirprevious organisation (who might be able to sue your organisation for inducing breachof that obligation).■ Ensure that all new employees (and agents), especially salespersons, are trained in theirobligations under the data protection law and your organisation’s data protection policiesand practices.CHECKLIST OF GOOD PRACTICES – SALESPERSONSIndividual salespersons who have left their previous organisation and have joined a neworganisation should adhere to the following:■■■■Do not take customers’ personal data with you unless authorised to do so.Observe the employee/agent exit requirements when leaving an organisation.Do not contact any of your clients from your previous organisation for any purposes,including to market to them, unless you have their consent to do so.Even if you have their consent, check that a contact is not in violation of anyconfidentiality obligation you have to your previous organisation.12Data Protection Commissioner, Ireland, Case 14.https://www.dataprotection.ie/docs/Case-Studies-2012/1354.htm#14Data Protection Commissioner, Ireland, Case Study 2/99,https://www.dataprotection.ie/docs/Case-Study-2-99-Life-Insurance-Company/137.htm 21",,," What do salespeople forget?
 What did the regulator do?
 What happened to the client?
","[{'answerText': 'To control the ways in which their personal data is used or disclosed', 'questionText': ' What do salespeople forget?', 'distractors': ['To control the way in which their personal data is used', 'To show that they are free to do whatever they like with their personal data', 'To express their opinion about their excustomers']}, {'answerText': 'Data controllers must be aware that where they process data which has been brought in to theorganisation by a new employee from their previous employment,without the consent of the individuals, they are in breach of thedata protection act', 'questionText': ' What did the regulator do?', 'distractors': ['The customer complained to thesalesman', 'Organisation B was at fault for failing to ensure securitymeasures were in place to protect the personal data', 'Organisation B had a duty to destroy the customers personal data']}, {'answerText': 'The client was horrified that confidential personal data relating to herlife insurance was still available to an ex-employee of organisation a', 'questionText': ' What happened to the client?', 'distractors': ['The client complained about the breach of the data protection law', 'Organisation B was not responsible for destroying the customers personal data', 'Organisation B failed to ensure securitymeasures were in place to protect the personal data', 'Organisation B failed to ensure security measures were in place to protect the personal data']}]",,,,"[{'answer': 'Organisation B', 'question': 'What was the name of the differentemployer that the salesman moved to?'}]","['What are salespeople under amisconception?', 'What do salespeople think they are free to do with their personal data about their customers?', 'Why do sales people “poaching ex-customers” –moving to a new organisation and marketing to “their customers” at theirprevious organisation?', 'Who did the salesman send a marketing letter to one of his customers at Organisation A?']"
5,5,Shhhh… Speak softly for privacy’s sake,"Many of us at one time or another would have been to a public library.Oneof the things we would have noticed are signs displayed prominently in bigletters that spell the word “SILENCE”.This is to remind library users tokeep quiet, or at least speak softly, so as not to disturb others who are thereto concentrate on serious reading or studying.Many a time we would havebeen ticked off by a stern-looking librarian when our verbal communicationvolume crossed a certain threshold.Where communications containing personal data and sensitive informationcan be overheardWithout the seven-letter word “SILENCE” to remind people at other publicplaces, I’m often amazed at how much private information is being disclosedwithin earshot of others around them, especially at restaurants and foodcourts.Not that I like to eavesdrop on other people’s conversations, but Ican’t help it when people speak loudly and their sound waves travel into myeardrums. “Do you know so-and-so is having an affair with… ?”, “Have youheard so-and-so’s son is suffering from… ?”are the usual type of gossip Ioften pick up.Doctors’ clinics are another place where private information is routinelydisclosed – to the doctors in the privacy of their consulting room and to thereceptionists or nurses in the clinic’s reception area and waiting room.Andthis is without a “SILENCE” sign to remind them to speak softly.On visits tosome doctors’ clinics, I never fail to be amazed by receptionists and nurseswho must think that all patients are hard of hearing.They speak so loudly thateveryone in the clinic can hear distinctly:The doctor will see you next week for your <name of medicalcondition> .orYour total bill for today’s visit is $xxx .I had an interesting encounter at a doctor’s clinic once.As I was a first-timepatient to this clinic, the receptionist asked me for my national identificationnumber, name, home address, telephone number, blood type and drugallergies.All the while the receptionist was talking very loudly.She repeatedeverything I said.Everyone in the clinic’s waiting room heard everythingabout my personal and medical details.The clinic should have takenmeasures to protect my privacy as it has an obligation to do so under the dataprotection law.For example, the receptionist should have been required tospeak more discreetly with a lower voice or told not to repeat my personaldata.Or the clinic could have changed its data collection process so that Iwas simply asked to write down my personal data.Think before you speak… especially if you speak loudlyWe are increasingly aware of the need to protect personal data aboutindividuals from being viewed or accessed by other individuals who do nothave a genuine “need to know”.But this is not enough.It is equally important to take care about the volume of our conversations,both face-to-face and on the phone.And organisations too must ensure thattheir employees are aware of the need to observe the volume of theirconversations on behalf of the organisation.In both cases, individuals mustmake sure that the personal data and private information of individuals beingdiscussed are not inadvertently overheard by people around them.This is always important.But it is especially important when individualsare discussing sensitive personal data, such as identity card numbers andmedical or financial information.And it’s just as important not to beoverheard during a phone conversation as it is to avoid being overheardduring a face-to-face conversation.For privacy’s sake, speak softly!CHECKLIST OF GOOD PRACTICESOrganisations should adopt the following practices when communicating personal data orsensitive information:■■Speak softly and discreetly on the phone and in face-to-face conversation, lest you areoverheard by people around you who are not supposed to know.Train and remind employees on how to communicate softly and discreetly at all times.23",,," Who was ticked off by when our verbal communicationvolume crossed a certain threshold?
""Do you know so-and-so is having an affair with...?"", “Have youheard so-and-so’s son is suffering from...?”, “Have youheard so-and-so’s son is suffering from...?”, “Have youheard so-and-so’
","[{'answerText': 'Stern-looking librarian', 'questionText': ' Who was ticked off by when our verbal communicationvolume crossed a certain threshold?', 'distractors': ['A sternlooking doctor']}, {'answerText': '', 'questionText': '""Do you know so-and-so is having an affair with...?"", “Have youheard so-and-so’s son is suffering from...?”, “Have youheard so-and-so’s son is suffering from...?”, “Have youheard so-and-so’', 'distractors': ['soandso is suffering from', 'soandsos son is suffering from']}]",,,"[{'answer': 'public library', 'question': 'What would many of us have been to at one time or another?'}, {'answer': 'gossip', 'question': 'What do Ioften pick up when people speak loudly?'}]","[{'answer': 'a public library', 'question': 'What did many of us have to do at one time or another?'}]","['What are signs displayed prominently in bigletters that spell the word ""SILENCE""?', 'What is a way to remind library users to keep quiet, or at least speak softly, so as not to disturb others who are thereto concentrate on serious reading or studying?', 'Who would have been ticked off by stern-looking librarian when our verbal communicationvolume crossed a certain threshold?']"
6,6,The trouble with third-party sources… of personal data,"Personal data and warranty cards: tips for the customer care teamWatch out – your security post may not be secureNo, giving a purpose for collecting excessive personal data may notavoid troubleSigning visitors into your premises – what does that do to your privacyprogramme?Section C:",,,"what does that do to your privacyprogramme?Section C:
","[{'answerText': '', 'questionText': 'what does that do to your privacyprogramme?Section C:', 'distractors': ['you cant send visitors into your premises', 'you cant sign visitors into your premises', 'you cant call the customer care team', 'you cant call visitors into your premises']}]",,,"[{'answer': 'privacy', 'question': 'What does signing visitors into your premises do to your programme?'}]","[{'answer': 'security post', 'question': 'What may not be secure?'}]","['What is the purpose of collecting excessive personal data?', 'What does this do to your privacyprogramme?']"
7,7,Usage of Personal Data,“It ain’t what you don’t know that gets you into trouble.It’s what you know for sure that justain’t so.”Mark Twain 28,,," What does Mark Twain mean?
","[{'answerText': '“it ain’t what you don’t know that gets you into trouble.”', 'questionText': ' What does Mark Twain mean?', 'distractors': ['“it ain’t what you don’t know that gets you into trouble']}]",,,"[{'answer': 'Mark Twain', 'question': 'Who wrote a book called “It ain’t what you don’t know that gets you into trouble.”'}]","[{'answer': 'Mark Twain 28', 'question': 'What is the name of Mark Twain?'}]","[""What is what you know for sure that justain't so?"", 'What is Mark Twain 28?']"
8,8,The perils of file exchange and sharing,"Do you or your organisation use cloud storage services such as Dropbox andGoogle Drive, which are hugely popular among many property agents,insurance agents and other mobile workers?Or do you often share personaldata through email with other employees in your organisation or third-parties?If so, you need to be alert to at least the following three sets ofrequirements:■Information security policyYou need to know whether what you are doing is permitted by yourorganisation’s information security policy.Or, in the case of individualsunder an agency contract with an organisation, whether it is permitted byyour agency agreement with that organisation.If that information security policy is silent about using these types ofcloud storage services, we suggest it should be amended either to permitit (and to include any protocols that employees are required to follow) orto forbid it.While forbidding it is likely an unpopular and probably inconvenient■■outcome, it is better than not raising questions about it now and findingout later when there is a problem that you are blamed for it.And thatunpleasant consequences may attach to that blame.Data protection lawYou need to know whether what you are doing is permitted by the dataprotection law, which requires personal data in the possession or underthe control of an organisation to be protected by that organisation.Sectoral regulationsYou need to know whether what you are doing is permitted by anysectoral regulations that apply to the organisation. (For example, thecentral bank in your jurisdiction may have made regulations that apply toyour organisation’s use of cloud storage services.)The perils of file exchange and file sharingMost users of file sharing services or those sharing files via email are notaware that they are creating potential data protection issues andcompromising security for their organisations if they only use the defaultfunctions and basic features within the service.This creates governance, riskand compliance issues for the organisation.As mentioned above, it can leadto trouble and blame for you.In one survey in the US1, approximately 61% of respondents confessedthey often or frequently:■■■■sent unencrypted emailsdid not delete confidential documents or files as required by applicableorganisational policiesaccidentally forwarded files or documents to individuals not authorisedto see themused personal file sharing/sync-and-share apps in the workplace.Major risks for organisations include the following:■■Hackers being able to gain access to your file sync-and-share system andthen taking control of it.They might then have access to an unprecedentedamount of your organisation’s information, including personal data.Access might extend to your organisation’s client’s information, includingpersonal data, too.Employees sharing documents or files containing personal data by emailwith other employees who are not authorised to see it and/or with third-parties who are not authorised to see it.Then it becomes even more precarious, especially if your documentsare unprotected and can easily be accessed.How many times have weheard of employees who carelessly shared confidential documents withothers who are not authorised to view that information?In one instance reported in the papers in Singapore in 2015, a teacheraccidentally sent out the personal data of 1,900 pupils to parents.Aspreadsheet attached to an email to parents contained the names and birthcertificate numbers of every pupil in the school, along with the names,phone numbers and email addresses of their parents.Tips to minimise the perils of file exchange and file sharingHere is a list of tips for achieving reasonable protection when exchanging orsharing files online, although more may be necessary in particularcircumstances, for example if the personal data shared is sensitive.Use two-factor or multi-factor authentication when logging into your cloudserviceDropbox2 and Google Drive3, for example, both offer several optionalsecurity functions.One of them is two-factor authentication, which includesusing one-time-password tokens.With two-step verification enabled, youwill have to enter both your usual password and a security code that is sentto your mobile phone whenever you sign in to the Dropbox website or add anew device to your accountThe outcome of two-factor authentication is that even if someone knowsyour Dropbox or Google Drive password, they will not be able to log in toyour account unless they can also obtain the time-sensitive code from yourphone.Password-protect or encrypt the documentWhenever you share a Microsoft Office document or PDF document thatincludes personal data or other confidential information, you shouldpassword-protect it.The relevant applications allow you to save thedocuments with a password.A strong password should prevent a hacker or other unauthorisedindividual from opening your document.But of course you must protect your strong password too.Call therecipient to tell them the password or send it to them in an SMS.If there is noalternative but to email the password to the recipient, send it in an emailseparate from the email to which you have attached the document.And avoidsending the two separate emails within seconds of each other and with thesame subject heading.Sometimes you may need to share an image of a document, such as apassport or driver’s licence, which is obviously sensitive personal data.Image files cannot easily be encrypted or protected with passwords.Therefore you should embed the image file in a Word document first and thenpassword-protect the Word document.Advanced users should explore using dedicated encryption tools toencrypt their documents or folders4.Verify the recipient’s email address for accuracy – and be stingy when you“cc”Although getting email addresses correct sounds very straightforward, manyindividuals still send files to the wrong recipients carelessly.The auto-find/select feature in many email programs that automatically selects a namebased on whichever letter or partial name you type can lead to errors.If youoften send emails containing personal data, eliminate this risk by turning thefeature off.Otherwise, always be very careful, especially when you are in ahurry.Be very stingy about who you include in any “cc” to an email where it, oran attachment to it, includes personal data.If several individuals need to seethe message in the email, but not all of them need to see, or are authorised tosee, the personal data in an attachment, send the email without the attachment.Then send a separate email with the attachment only to those individuals whoneed to see the personal data and are authorised to see it.This should reducethe risk of data exposure or leakage as well as enabling you to comply withyour organisation’s policy about who has access to personal data.A further quick note on emails – protecting the personal data of recipientstooSometimes you need to send emails to multiple individuals, including wherethere is an attachment that contains personal data.Take some time to think about whether or not it is appropriate for eachrecipient to see each of the other recipients’ email addresses.And whetheror not it is appropriate for each of them to know who else will see thepersonal data in the attachment to the email.If in any doubt include all the recipients under blind copy/“bcc” so thatno recipient can see the email addresses of other recipients or see who elsewill view the personal data in the attachment to the email.Check or verify who and what links you are sharingWhen you share documents using Dropbox, Google Drive or other filesharing services, you send a link to the individual or individuals with whomyou want to share them.Because you see only one link, it is easy to forgetthat you have a particular document that is shared with multiple individuals.It is also easy to forget that they can forward the link to just about anyone.Always be aware of what files you are sharing and verify who has accessto them.Be careful about the permissions you give to the recipient, such asthe ability to edit or add new files.You should regularly review shared access rights to your documents andfolders.You should retire the links that are no longer being used or no longerrequired.Dropbox, for example, allows you to see which files you haveshared and with whom – you can easily decide what files or folders shouldor should not continue to be accessible and to whom.The same logic appliesif you are syncing multiple devices or sharing folders with others.Unlinkdevices you are no longer using.Delete emails containing personal information that are no longer neededMake it a point to delete emails that contain confidential data.This includesany attachments you may have downloaded.If you use your mobile device toshare documents, practise the same care – whether you WhatsApp or snap aphotograph of somebody’s identity card, driver’s licence or other document.CHECKLIST OF GOOD PRACTICESOrganisations and individuals sharing and exchanging files containing personal data andother confidential information should take the following precautionary measures:■■■■■Make sure that you and your organisation are permitted to use cloud storage services.Use cloud storage services and share documents and files only in accordance withprotocols set out in your organisation’s information security policy.Use protection measures such as two-factor authentication, password protection and/orencryption.Ensure that email addresses are correct and be stingy about who gets a copy of theemail.Think about whether copies should be sent using the “bcc” function rather thanthe “cc” function.Keep your shared documents and links up to date.Do regular housekeeping and deleteemails containing personal data when you no longer need them.1234Ponemon Institute “Breaking Bad: The Risk of Insecure File Sharing”, Oct 2014.Instructions for Dropbox users: https://www.dropbox.com/help/363Instructions for GoogleDrive users: https://support.google.com/accounts/answer/185839?hl=enVisit the Lifehacker website for tips: http://lifehacker.com/five-best-file-encryption-tools-5677725.35Publicly available data – is it really free touse?The data protection law invariably requires an organisation to obtain consentfrom individuals before collecting, using or disclosing their personal data.However, there are exceptions to the consent requirement.A typical exception relates to “publicly available information” or“publicly available data”.To illustrate, here is a list of some types ofpublicly available information:■■■Government and public sector agency records – for example, land titlerecords, company registration records (including details of directors andshareholders) and bankruptcy records.Information about listed public companies that they disclose to the publicin the company’s Annual Report and in their stock exchange filings.Forexample, they might disclose the remuneration of their directors and/orsenior executives.Videos and photos taken of individuals in places that are open to thepublic, even if it is necessary to buy a ticket or book a seat, for example.Note: Videos and photos taken of individuals at private functions held■■in public places where entry is by invitation only (such as a private roomin a restaurant or a restaurant that is booked out for a private function)are not publicly available information.Nor are videos made and photostaken from a public place looking into a place that is not open to thepublic (for example, looking from the street through the window of ahouse).Personal contact information of individuals who advertise in thenewspapers or on the Internet to offer products or services for sale or tosource for products or services to purchase.Personal details of individuals posted on social media platforms that arenot restricted to select groups of people.Is an organisation free to collect, use or disclose publicly availableinformation?The question one might ask is: “If consent of the individuals concerned is notrequired in the above scenarios, does it mean that anyone can have unfettereduse of such publicly available data?”The answer matters, particularly from a sales and marketing perspective.If the answer is “Yes”, rich sources of personal data are a marketer’sbonanza.Unfortunately, the answer is usually “It depends”.So access to publicly available data does not automatically give anorganisation or an individual the right to use or disclose such data in any waythey like.It seems to be better to err on the conservative side rather than tohave a complaint or even a lawsuit against the organisation.Some reasons why “It depends” follow.There may be additional reasonsin specific circumstances or concerning specific information.This is an areafor consideration on a case-by-case basis.Licensing or right-of-use considerationsThe organisation that publishes personal data may restrict its use.Forexample, where personal data is made available by a government or publicsector agency it may impose specific licensing or right-of-use conditions.These may include restricting use of purchased data to the individual orentity that purchases it and prohibiting any re-sale of the personal data to athird-party.Before using or disclosing any personal data that is publicly availableinformation, an organisation or individual must be sure to check forapplicable terms and conditions and make sure to comply with them.Intent of the individual who made their personal data available publiclyAn organisation has to be cognisant of the intent of the individuals who maketheir personal data publicly available.Individuals who advertise in thenewspapers to look for a vehicle with certain specifications might toleratesomeone offering them another vehicle with slightly different specificationsin response to their advertisement.But they would most likely not tolerate someone trying to sell them a spapackage or financial advice.Even though the data protection law may permitthe organisation to collect and use their personal data without consent forsales and marketing purposes, it will be futile and possibly counter-productive from a business perspective if the individual feels that theorganisation should not have done so.The law of unintended consequencesCare is always needed if images of individuals are used without theirknowledge and consent.There may be unexpected and unintendedconsequences and the organisation using the images might be responsible forthem.The use needs to be reasonable in the sense of being personallyacceptable to individuals if it is to win or retain their goodwill.For example,a group of people whose photo is taken at a public place would most likelybe annoyed if they discover that their photo is being used to promote a weightmanagement programme or a hair implant programme.CHECKLIST OF GOOD PRACTICES■■Organisations should understand that they will not usually have the right to use ordisclose publicly available information indiscriminately.The use or disclosure of publicly available data should take into consideration:•••licensing or right-of-use requirementsthe intent of the data originatorthe law of unintended consequences 36",,,"do you or your organisation use cloud storage services such as Dropbox and Google Drive, which are hugely popular among many property agents,insurance agents and other mobile workers?Do you or your organisation use cloud storage services such as Dropbox and Google Drive?
 What are most users of file sharing services notaware of?
","[{'answerText': '', 'questionText': 'do you or your organisation use cloud storage services such as Dropbox and Google Drive, which are hugely popular among many property agents,insurance agents and other mobile workers?Do you or your organisation use cloud storage services such as Dropbox and Google Drive?', 'distractors': ['Dropbox and Google Drive', 'Do you share personal data through email with other employees in your organisation', 'Do you share personaldata through email with other employees in your organisation or thirdparties']}, {'answerText': 'The perils of file exchange and file sharing', 'questionText': ' What are most users of file sharing services notaware of?', 'distractors': ['The defaultfunctions and basic features in the service', 'The security issues for their organisations', 'The risk of data protection law', 'The risk of data protection']}]",,,"[{'answer': 'Dropbox andGoogle Drive', 'question': 'What are two popular cloud storage services?'}, {'answer': 'central bank', 'question': 'Who may have made regulations that apply to your organisation’s use of cloud storage services?'}, {'answer': 'data protection law', 'question': 'What are the three sets of requirements that you need to be alert to?'}]","[{'answer': 'Dropbox andGoogle Drive', 'question': 'What are some of the cloud storage services that are hugely popular among property agents,insurance agents and other mobile workers?'}, {'answer': 'thecentral bank', 'question': 'Who may have made regulations that apply toyour organisation’s use of cloud storage services?'}, {'answer': 'data protection', 'question': 'What issues do most users of file sharing services or those sharing files via email are notaware of?'}]","['What do you or your organisation use?', 'What are some of the most common risks for organisations?', 'How does data protection law require personal data in the possession or under the control of an organisation to be protected by the organisation?', 'Who may have made regulations that apply to the use of cloud storage services?']"
9,9,Using personal data from unclear or unauthorised sources,Watch your spreadsheet – spreading personal data in a data breach39.“With great power comes great responsibility” – access to employeepersonal dataSection D:,,," What - access to employeepersonal data?
","[{'answerText': '""with great power comes great responsibility""', 'questionText': ' What - access to employeepersonal data?', 'distractors': []}]",,,"[{'answer': 'employeepersonal data', 'question': 'What type of personal data does a data breach cause access to?'}]","[{'answer': 'employeepersonal data', 'question': 'What does great power come with?'}]","['What is your spreadsheet spreading in a data breach39?', 'What is ""With great power comes great responsibility?""']"
